536,579
546,598
544,601
553,592
565,591
566,590
591,607
589,635
627,639
648,639
673,618
693,632
708,628
696,604
714,596
727,584
716,591
688,610
678,604
672,603
658,605
650,599
645,610
599,605
555,602
561,604
591,641
584,646
600,650
598,629
584,594
594,584
605,572
598,554
622,572
631,600
654,607
681,584
666,598
686,573
694,586
683,586
668,593
652,571
637,578
644,594
602,565
610,555
606,570
589,580
609,586
593,593
593,581
614,557
613,555
617,551
625,546
637,530
644,504
645,533
646,558
654,567
658,565
670,559
644,530
681,530
665,562
642,540
651,540
640,558
616,536
586,554
577,557
578,554
578,555
585,554
592,547
597,525
601,523
622,527
643,512
651,505
650,524
636,533
665,526
671,521
680,522
671,523
676,521
669,500
672,525
672,524
670,505
618,536
606,527
584,511
579,517
574,506
565,480
579,469
628,489
643,487
660,486
659,486
663,485
654,487
643,464
652,456
642,475
614,485
598,486
588,489
565,483
547,475
564,466
540,456
552,449
573,455
590,453
599,434
614,461
621,457
644,453
663,460
672,438
669,451
683,464
669,471
676,456
667,451
656,452
638,460
620,468
591,446
575,447
583,429
568,425
571,417
571,385
585,388
598,409
621,418
641,415
663,407
654,378
664,387
678,367
680,363
693,383
680,408
650,421
634,417
618,390
606,415
603,418
608,409
584,393
599,380
599,358
629,362
626,387
656,386
662,380
668,360
663,344
637,339
647,357
618,372
609,384
597,370
580,356
575,346
595,323
587,308
586,312
602,329
630,316
628,311
629,291
641,307
613,310
595,305
566,288
566,260
587,313
592,259
612,271
643,262
651,254
660,276
680,246
661,278
668,276
637,282
639,291
634,281
614,275
609,254
612,252
593,235
636,245
660,238
656,245
648,253
633,246
637,284
611,272
597,249
592,243
581,227
584,211
588,209
585,199
604,202
616,203
617,191
638,200
661,197
649,208
635,218
611,222
593,209
581,187
562,176
565,172
586,171
609,176
617,161
636,169
651,173
655,184
616,159
608,151
605,146
632,149
645,132
644,130
629,133
625,134
602,141
598,128
589,107
605,119
606,111
647,110
651,119
648,104
654,87
636,95
606,105
583,80
576,82
577,76
576,69
589,49
592,21
609,34
621,43
626,56
639,29
650,64
659,86
659,104
678,99
657,112
662,121
647,126
646,120
626,102
609,118
586,108
569,114
562,123
574,111
548,115
549,129
559,139
562,145
589,169
592,182
604,182
608,183
604,182
627,181
640,162
646,179
656,175
656,179
654,170
648,178
644,161
632,153
618,177
597,167
596,137
588,150
551,135
559,158
572,173
568,180
591,213
603,217
633,220
629,222
627,226
652,221
636,289
674,214
679,213
690,201
695,171
686,194
658,203
649,203
636,185
627,187
616,206
599,202
585,206
573,191
572,205
555,214
578,221
574,244
564,251
563,246
568,251
563,256
577,247
589,248
605,272
633,250
653,253
657,221
659,250
682,270
672,275
700,270
708,266
701,269
727,251
693,253
702,248
687,258
683,194
680,244
661,227
641,238
627,256
608,266
577,268
549,269
532,275
540,278
541,295
535,289
548,281
535,266
546,286
550,293
566,300
578,296
593,317
607,314
616,322
657,320
653,286
669,309
668,321
677,322
672,335
691,339
694,338
709,340
711,331
725,310
710,321
693,304
687,299
680,282
684,306
669,333
652,339
634,331
624,332
602,339
584,341
569,321
571,342
580,363
567,385
565,390
578,379
569,382
563,355
582,374
588,357
594,355
614,327
606,281
662,381
678,382
685,381
700,375
698,369
705,357
720,367
727,366
727,358
749,350
746,347
732,356
718,363
713,335
698,360
687,366
671,379
648,383
628,377
610,353
609,378
591,400
567,380
566,384
548,372
547,378
565,380
539,403
535,400
525,400
530,408
536,415
566,422
563,422
590,419
588,421
594,399
613,387
613,415
633,418
633,427
663,420
665,420
675,408
675,402
685,403
684,389
713,385
692,398
663,394
664,390
659,388
652,407
657,383
629,373
639,408
631,424
612,440
592,454
586,427
552,453
546,422
538,456
540,460
528,455
527,455
536,426
542,431
533,427
553,425
549,453
557,460
578,461
597,452
599,448
614,418
628,427
638,427
643,459
665,426
669,426
688,428
673,457
685,459
677,427
682,433
695,457
698,469
718,472
733,466
728,457
728,445
725,453
709,465
701,458
667,455
667,431
646,450
616,454
607,468
562,491
539,503
515,500
499,475
490,478
505,502
526,511
525,519
542,517
551,527
565,538
574,502
602,532
589,521
586,495
608,512
614,496
635,528
643,524
649,529
656,497
687,517
696,504
709,524
713,520
712,527
704,529
715,536
738,529
729,523
725,498
724,498
724,525
714,522
703,497
721,510
705,504
719,477
709,500
692,514
678,531
661,521
631,533
628,539
590,540
577,533
563,521
539,509
535,539
531,562
513,554
518,547
505,541
511,572
508,567
505,563
510,553
515,559
536,554
549,552
567,550
578,539
604,535
610,535
632,524
639,565
663,522
671,506
681,530
678,533
708,544
707,546
724,537
729,547
724,528
742,551
745,558
726,557
743,564
751,557
747,525
737,544
742,574
745,581
720,590
713,599
717,577
702,555
677,576
658,589
646,593
621,593
604,572
592,584
572,566
539,588
532,607
535,615
532,612
519,618
492,628
489,620
504,602
477,573
490,600
514,600
510,612
511,613
513,601
517,596
523,576
559,565
560,567
580,564
600,574
610,562
633,560
640,585
640,596
652,582
655,576
672,574
691,591
715,553
729,574
739,560
740,576
760,573
787,574
756,576
764,618
762,634
772,619
765,628
769,608
763,611
755,638
733,649
722,644
717,644
705,655
696,629
675,661
662,658
633,658
617,652
591,646
571,650
563,655
568,682
